id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey
1,Afghanistan,AFG,AF,2008,29,9,13,17,22,39,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,36588,,Afghan afghani,Month,50.2496147435897,,,1298,27294031,New 2013,High,12,National statistical authority,European Commission and the Government of Afghanistan,National Risk and Vulnerability Assessment,
2,Albania,ALB,AL,1996,27.01,9.15,13.7,17.73,23.29,36.12,3.86,5.29,6.38,7.32,8.38,9.35,10.82,12.47,14.9,21.22,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2255.4,1982.16,US$2011PPP,Year,104.498916666667,2255,1982,4812,3092228,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
3,Albania,ALB,AL,2002,31.74,8.35,12.58,16.49,22.21,40.37,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2305.2,1901.52,US$2011PPP,Year,140.154515875,2305,1902,6316,3119029,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
4,Albania,ALB,AL,2005,30.6,8.4,12.9,17.03,22.5,39.17,3.48,4.92,5.98,6.92,7.99,9.04,10.37,12.13,14.83,24.34,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2605.92,2217.48,US$2011PPP,Year,99.8702544808992,2606,2217,7563,3079179,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
5,Albania,ALB,AL,2008,29.98,8.87,13.07,16.83,22.23,39,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.54,24.46,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2850.24,2385.12,US$2011PPP,Year,83.8946041005291,2850,2385,9018,2991651,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
6,Albania,ALB,AL,2012,28.96,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2703.36,2340.72,US$2011PPP,Year,108.184644599242,2703,2341,10300,2920039,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
7,Algeria,DZA,DZ,1988,40.19,6.54,10.74,14.93,20.64,47.15,2.7,3.84,4.87,5.87,6.9,8.03,9.4,11.24,14.34,32.81,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2398.32,1784.52,US$2011PPP,Year,5.91476666666667,2398,1785,,24591492,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
8,Algeria,DZA,DZ,1995,35.33,6.96,11.55,16.24,22.63,42.62,2.87,4.09,5.22,6.33,7.48,8.76,10.29,12.34,15.73,26.89,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2284.92,1848.24,US$2011PPP,Year,47.6627266666667,2285,1848,9295,28904298,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
9,Algeria,DZA,DZ,2012,27.62,9.36,13.67,17.47,22.29,37.22,4.05,5.31,6.36,7.31,8.24,9.23,10.39,11.9,14.36,22.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2972.76,2592,US$2011PPP,Year,77.5359666666667,2973,2592,13162,37565847,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
10,Andorra,AND,AD,2001,26.46,,,,,,,,,,,,,,,,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,,,,,,,,67341,New 2018,High,11,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF)
11,Andorra,AND,AD,2002,26.76,,,,,,,,,,,,,,,,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,,,,,,,,70049,New 2018,High,11,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF)
12,Andorra,AND,AD,2003,27.21,9.9,13.8,17.1,21.8,37.4,4.3,5.6,6.5,7.3,8.1,9,10.2,11.6,14,23.4,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,17266,14668,Euro,Year,,,,,73182,New 2018,High,13,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF)
13,Angola,AGO,AO,1995,45,,,,,,4.4,,,,,,,,,42.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,,,,,0.00275022958333333,,,2465,14268994,New 2018,Average,11,Research study,Sousa 2002,,The Inquerito Prioritario sobre as Condicoes de Vida aos Domicilios (IPCVD)
14,Angola,AGO,AO,2001,51.96,3.18,7.84,12.71,20.16,56.12,0.98,2.2,3.34,4.5,5.66,7.05,8.81,11.35,15.87,40.25,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1640.4,1037.64,US$2011PPP,Year,22.0578616666667,1640,1038,2898,16983266,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
15,Angola,AGO,AO,2009,55,3,7,12,19,59,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,105204,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
16,Angola,AGO,AO,2009,43,5,10,14,22,49,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,77388,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
17,Angola,AGO,AO,2009,50,4,8,13,20,55,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,71604,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
18,Angola,AGO,AO,2009,38,6,11,15,22,45,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,Rural,Rural,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,48732,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
19,Angola,AGO,AO,2009,55,3,7,12,19,59,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,132924,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,10,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
20,Angola,AGO,AO,2009,39,6,11,15,22,45,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,Urban,Urban,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,101028,,Angolan kwanza,Month,79.3281666666667,,,5908,22549547,New 2013,High,12,National statistical authority,Angola Instituto Nacional de Estatistica,,Integrated Survey on the Welfare of Population (IBEP) 2008-2009
21,Angola,AGO,AO,2009,42.72,5.43,9.62,14.46,21.94,48.54,2.07,3.36,4.32,5.3,6.54,7.92,9.65,12.29,16.23,32.31,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1448.88,1044.24,US$2011PPP,Year,79.3281666666667,1449,1044,5908,22549547,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,
22,Argentina,ARG,AR,1953,40,7.4,10.7,13.6,18.2,50.1,3.2,4.2,5,5.7,6.4,7.2,8.3,9.9,13,37.1,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,21288,Argentine peso,Month,,,,,18224150,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
23,Argentina,ARG,AR,1953,41.2,7.5,10.6,13.9,18.1,50,3.2,4.3,5,5.6,6.5,7.4,8.3,9.8,13.2,36.8,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,18224150,,Low,10,Research study,Weisskoff 1970,Argentina National Development Council,
24,Argentina,ARG,AR,1959,44.7,6.8,9.4,12.3,16.7,54.8,3,3.8,4.4,5,5.8,6.5,7.6,9.1,12.5,42.3,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,112824,Argentine peso,Month,,,,,20285531,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
25,Argentina,ARG,AR,1959,46.3,6.9,9.5,12.2,16.8,54.7,3,3.9,4.4,5.1,5.7,6.5,7.8,9,12.8,41.9,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20285531,,Low,10,Research study,Weisskoff 1970,,
26,Argentina,ARG,AR,1961,41.9,7,10.3,13.2,17.6,51.9,2.9,4.1,4.8,5.5,6.2,7,8,9.6,12.9,39,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,163680,Argentine peso,Month,,,,,20953077,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
27,Argentina,ARG,AR,1961,40.7,7.5,10.6,13.2,17.6,51.1,3.2,4.3,5,5.6,6.2,7,8,9.6,12.7,38.4,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,170256,Argentine peso,Month,,,,,20953077,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation. Based on National Accounts,
28,Argentina,ARG,AR,1961,50.8,6.1,7.9,11.2,17.5,57.3,3,3.1,3.7,4.2,5.1,6.1,7.7,9.8,13.7,43.6,,33.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Rural,Agricultural sector,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,9,World Bank,Jain 1975,Cline 1972,
29,Argentina,ARG,AR,1961,42,7.2,10.2,13.8,19.4,49.4,3.2,4,4.7,5.5,6.4,7.4,8.7,10.7,13.8,35.6,,26.4,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Urban,Nonagricultural sector,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,9,World Bank,Jain 1975,Cline 1972,
30,Argentina,ARG,AR,1961,47.7,5,9.8,13.7,19,52.5,1.6,3.4,4.5,5.3,6.3,7.4,8.6,10.4,13.2,39.3,,30.8,Income (net/gross),"Income, net/gross",,,,Person,Urban,Nonagricultural sector,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,7,World Bank,Jain 1975,Synthetic estimates (UN-ECLA 1970),
31,Argentina,ARG,AR,1961,43.8,6.9,9.7,13.3,19.2,50.9,3.1,3.8,4.5,5.2,6.1,7.2,8.6,10.6,13.9,37,,32,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,10,World Bank,Jain 1975,UN-ECLA 69,
32,Argentina,ARG,AR,1961,49,5.1,9.3,13.1,18.6,53.9,1.8,3.3,4.3,5,6,7.1,8.4,10.2,13.2,40.7,,32,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Person,Person,All,All,Economically active,Income recipients,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,92140,,Argentine peso,Year,,,,,20953077,,Not known,9,World Bank,Jain 1975,UN-ECLA 69,
33,Argentina,ARG,AR,1961,53.1,5.2,8.2,11.7,17.1,57.8,2.1,3.1,3.7,4.5,5.3,6.4,7.6,9.5,12.6,45.2,,36.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Person,Person,Rural,Agricultural sector,Economically active,Income recipients,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,78620,,Argentine peso,Year,,,,,20953077,,Not known,8,World Bank,Jain 1975,UN-ECLA 69,
34,Argentina,ARG,AR,1961,42.3,7,,,,,,,,,,,,,,,,29.4,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,8,Research study,Cromwell 1977,Weisskoff 1970,
35,Argentina,ARG,AR,1961,42.5,,,,,,,,,,,,,,,,,,Earnings,Primary income,No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,6,Research study,Lecaillon et al. 1984,,
36,Argentina,ARG,AR,1961,47.8,,,,,,,,,,,,,,,,,,Earnings,Primary income,,,,Person,Urban,Urban,Economically active,Economically active,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,3,Research study,Lecaillon et al. 1984,,
37,Argentina,ARG,AR,1961,42,7,10.4,13.2,17.9,51.5,,,,,,,,,,,,29.3,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Not known,11,Research study,Paukert 1973,Weisskoff 1970,
38,Argentina,ARG,AR,1961,43.4,7,10.4,13.2,17.9,51.6,2.9,4.1,4.9,5.5,6.1,7.1,8.1,9.8,12.6,39,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,,20953077,,Low,10,Research study,Weisskoff 1970,Argentina National Development Council,
39,Argentina,ARG,AR,1963,37.3,6.8,11,15.2,21.3,45.7,2.7,4.1,5,6,7.1,8.1,9.6,11.7,15.2,30.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,252300,Argentine peso,Month,0.000000000013871666666625,,,,21621840,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos de Consumo
40,Argentina,ARG,AR,1963,35.8,7.2,11.6,15.3,21.2,44.7,2.9,4.3,5.3,6.3,7.2,8.1,9.5,11.7,15.2,29.5,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,258300,Argentine peso,Month,0.000000000013871666666625,,,,21621840,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos de Consumo
41,Argentina,ARG,AR,1963,38.5,6.8,10.8,15,21.7,45.7,2.8,4,5,5.8,6.9,8.1,9.8,11.9,15.6,30.1,,19.8,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.000000000013871666666625,,,,21621840,,Low,10,World Bank,Jain 1975,World Bank. Compilation,"Encuesta Sobre Presupuestos de Consumo de las Familias Urbanos, por Niveles de Ingreso para 1963"
42,Argentina,ARG,AR,1965,35.3,6.4,11.7,16.3,22.8,42.7,2.3,4.1,5.3,6.4,7.5,8.8,10.5,12.3,15.7,27,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,387192,Argentine peso,Month,0.0000000000169566666666417,,,,22283390,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Consumo de Alimentos
43,Argentina,ARG,AR,1969,37.3,6.2,11.1,15.7,22.1,44.9,2.3,3.9,5.1,6,7.2,8.5,10.1,12,15.7,29.2,,,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,12696,Argentine peso,Month,0.000000000035,,,,23605987,,Average,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Presupuestos Familiares
44,Argentina,ARG,AR,1970,36.1,6.3,11.7,16.2,22.9,43.4,2.3,4,5.6,6.1,7.6,8.6,10.7,12.2,15.8,27.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Metropolitan area,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,9252,Argentine peso,Month,0.0000000000379166666566667,,,,23973058,,Low,11,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta de Empleo y Desempleo: Suplemento de Ingresos
45,Argentina,ARG,AR,1970,41.1,5.6,10.6,15.1,21.7,47,1.9,3.7,4.8,5.8,6.9,8.2,9.7,12,15.4,31.6,,21.4,Income (net/gross),"Income, net/gross",,,,Person,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.0000000000379166666566667,,,,23973058,,Low,7,World Bank,Jain 1975,World Bank. Compilation,
46,Argentina,ARG,AR,1972,35.3,6.3,12,16.6,22.1,43,2.2,4.1,5.4,6.6,7.7,8.9,10.1,12,15.3,27.7,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,11712,Argentine peso,Month,0.00000000004999999999,,,,24782949,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Nacional de Hogares
47,Argentina,ARG,AR,1972,33.4,6.9,12.5,16.8,22,41.8,2.5,4.4,5.7,6.8,7.9,8.9,10.1,11.9,15.2,26.6,,,Income (net),"Monetary income, net",No adjustment,No adjustment,Household,Household,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,12216,Argentine peso,Month,0.00000000004999999999,,,,24782949,,Low,12,United Nations,Altimir 1986,UNECLAC. Compilation,Encuesta Permanente de Hogares
48,Argentina,ARG,AR,1974,34.5,7.2,11.9,16.5,22.7,41.8,2.8,4.4,5.4,6.5,7.6,8.9,10.4,12.3,15.5,26.3,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000004999999999,,,,25644506,New 2018,High,12,SEDLAC,SEDLAC 2018,,
49,Argentina,ARG,AR,1974,32.2,7.8,12.6,16.9,22.5,40.2,3.1,4.7,5.8,6.8,7.9,9,10.4,12.1,15.1,25.1,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,0.00000000004999999999,,,,25644506,New 2018,High,12,SEDLAC,SEDLAC 2018,,
